terminalName,Street Address,location,Bikes Available,Docks Empty,Total Station Capacity,Time Imported
31217,USDA / 12th & C St SW,"(38.88627694506511, -77.02824175357819)",11,26,37,12:23:20
31501,12th & Newton St NE,"(38.933668, -76.991016)",3,8,11,12:23:20
31220,US Dept of State / Virginia Ave & 21st St NW,"(38.894919, -77.046587)",9,6,15,12:23:20
31218,L'Enfant Plaza / 7th & C St SW,"(38.886266, -77.022241)",15,0,15,12:23:20
31219,10th St & Constitution Ave NW,"(38.893028, -77.026013)",9,15,24,12:23:20
31211,Kennedy Center,"(38.897293, -77.05557)",7,10,17,12:23:20
31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,"(38.884, -76.995397)",19,0,19,12:23:20
31221,18th & M St NW,"(38.90506687455313, -77.04177886247635)",7,19,26,12:23:20
31303,Tenleytown / Wisconsin Ave & Albemarle St NW,"(38.947607, -77.079382)",4,9,13,12:23:20
31611,13th & H St NE,"(38.900021783466954, -76.98842167854308)",11,16,27,12:23:20
31620,5th & F St NW,"(38.897222, -77.019347)",0,26,26,12:23:20
31222,New York Ave & 15th St NW,"(38.89903234416315, -77.03335404396057)",2,17,19,12:23:20
31223,Convention Center / 7th & M St NW,"(38.905737, -77.02227)",3,20,23,12:23:20
31112,Harvard St & Adams Mill Rd NW,"(38.927872, -77.043358)",7,8,15,12:23:20
31224,19th & L St NW,"(38.903407, -77.043648)",12,3,15,12:23:20
31225,C & O Canal & Wisconsin Ave NW,"(38.90375, -77.06269)",2,18,20,12:23:20
31609,Maine Ave & 7th St SW,"(38.878693599396954, -77.02305436134338)",0,19,19,12:23:20
31612,D St & Maryland Ave NE,"(38.894758, -76.997114)",13,9,22,12:23:20
31226,34th St & Wisconsin Ave NW,"(38.916442, -77.0682)",4,4,8,12:23:20
31228,8th & H St NW,"(38.8997, -77.023086)",9,23,32,12:23:20
31505,Eckington Pl & Q St NE,"(38.910972, -77.00495)",15,8,23,12:23:20
31615,6th & H St NE,"(38.899972, -76.998347)",1,20,21,12:23:20
31616,3rd & H St NE,"(38.900412, -77.001949)",3,15,18,12:23:20
31617,Bladensburg Rd & Benning Rd NE,"(38.900413, -76.982872)",7,7,14,12:23:20
31618,4th & East Capitol St NE,"(38.889955, -77.000349)",1,9,10,12:23:20
31619,Lincoln Park / 13th & East Capitol St NE ,"(38.890461, -76.988355)",4,21,25,12:23:20
31701,Branch & Pennsylvania Ave SE,"(38.8692, -76.9599)",6,5,11,12:23:20
31622,13th & D St NE,"(38.894832, -76.987633)",6,24,30,12:23:20
31229,New Hampshire Ave & T St NW,"(38.91554, -77.03818)",4,19,23,12:23:20
31230,Metro Center / 12th & G St NW,"(38.898364, -77.027869)",7,32,39,12:23:20
31231,14th & D St NW / Ronald Reagan Building,"(38.894514, -77.031617)",8,17,25,12:23:20
31234,20th & O St NW / Dupont South,"(38.908905, -77.04478)",2,15,17,12:23:20
31621,4th & D St NW / Judiciary Square,"(38.895344, -77.016106)",6,9,15,12:23:20
